;1STH/NOR1261;NOR1261;0 grupper;1STH;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;3STA/NOR1268;NOR1268;0 grupper;3STA;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STG/NOR1261;NOR1261;0 grupper;1STG;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;1STF/NOR1261;NOR1261;0 grupper;1STF;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;1STC/NOR1261;NOR1261;0 grupper;1STC;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;1STD/NOR1261;NOR1261;0 grupper;1STD;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;1STE/NOR1261;NOR1261;0 grupper;1STE;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;3STD/NOR1268;NOR1268;0 grupper;3STD;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STF/NOR1269;NOR1269;0 grupper;3STF;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3STD/NOR1269;NOR1269;0 grupper;3STD;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3STB/NOR1268;NOR1268;0 grupper;3STB;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STB/NOR1269;NOR1269;0 grupper;3STB;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3STC/NOR1269;NOR1269;0 grupper;3STC;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3STE/NOR1268;NOR1268;0 grupper;3STE;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STB/NOR1261;NOR1261;0 grupper;1STB;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;3STH/NOR1269;NOR1269;0 grupper;3STH;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3STF/NOR1268;NOR1268;0 grupper;3STF;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STG/NOR1269;NOR1269;0 grupper;3STG;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3STG/NOR1268;NOR1268;0 grupper;3STG;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STH/NOR1268;NOR1268;0 grupper;3STH;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;1STA/NOR1261;NOR1261;0 grupper;1STA;;Nei;
;;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;;;;;
;2MKA/NOR1265;NOR1265;0 grupper;2MKA;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;3STC/NOR1268;NOR1268;0 grupper;3STC;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;3STE/NOR1269;NOR1269;0 grupper;3STE;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3PBYA/NOR1272;NOR1272;0 grupper;3PBYA;;Nei;
;;Norsk, vg3 påbygging til generell studiekompetanse, muntlig;;;;;
;3PBYA/NOR1271;NOR1271;0 grupper;3PBYA;;Nei;
;;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;;;;;
;3STA/NOR1269;NOR1269;0 grupper;3STA;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;2STF/NOR1265;NOR1265;0 grupper;2STF;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;2STG/NOR1265;NOR1265;0 grupper;2STG;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;2STH/NOR1265;NOR1265;0 grupper;2STH;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;2STB/NOR1265;NOR1265;0 grupper;2STB;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;3MKA/NOR1269;NOR1269;0 grupper;3MKA;;Nei;
;;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;;;;;
;3MKA/NOR1268;NOR1268;0 grupper;3MKA;;Nei;
;;Norsk sidemål, vg3 studieforberedende utdanningsprogram, skriftlig;;;;;
;2STC/NOR1265;NOR1265;0 grupper;2STC;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;2STD/NOR1265;NOR1265;0 grupper;2STD;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;2STE/NOR1265;NOR1265;0 grupper;2STE;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;2STA/NOR1265;NOR1265;0 grupper;2STA;;Nei;
;;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;;;;;
;2ITKB/NOR1262;NOR1262;1 gruppe;2ITKB;;Nei;
;;Norsk, vg2 yrkesfaglige utdanningsprogram;;;;;
;2MEDA/SAK1001;SAK1001;1 gruppe;2MEDA;;Nei;
;;Samfunnskunnskap;;;;;
;2ITKB/ITK2003;ITK2003;1 gruppe;2ITKB;;Nei;
;;Utvikling;;;;;
;2ITKB/ITK2002;ITK2002;1 gruppe;2ITKB;;Nei;
;;Brukerstøtte;;;;;
;2ITKB/ITK2001;ITK2001;1 gruppe;2ITKB;;Nei;
;;Driftsstøtte;;;;;
;2ITKB/YFF4209;YFF4209;1 gruppe;2ITKB;;Nei;
;;Yrkesfaglig fordypning vg2;;;;;
;2SRLB/SRL2002;SRL2002;1 gruppe;2SRLB;;Nei;
;;Innovasjon og markedsføring;;;;;
;2MEDA/MED2005;MED2005;1 gruppe;2MEDA;;Nei;
;;Teknologi og produksjon;;;;;
;2MEDA/YFF4209;YFF4209;1 gruppe;2MEDA;;Nei;
;;Yrkesfaglig fordypning vg2;;;;;
;2SRLAB/SAK1001;SAK1001;1 gruppe;2SRLA, 2SRLB;;Nei;
;;Samfunnskunnskap;;;;;
;1STD/NAT1007;NAT1007;1 gruppe;1STD;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;2SRLB/SRL2001;SRL2001;1 gruppe;2SRLB;;Nei;
;;Forretningsdrift;;;;;
;2SRLB/SRL2003;SRL2003;1 gruppe;2SRLB;;Nei;
;;Kultur og kommunikasjon;;;;;
;3STF/HIS1010;HIS1010;1 gruppe;3STF;;Nei;
;;Historie Vg3 studieforberedende utdanningsprogram;;;;;
;1STG/KRO1017;KRO1017;1 gruppe;1STG;;Nei;
;;Kroppsøving vg1;;;;;
;1STH/KRO1017;KRO1017;1 gruppe;1STH;;Nei;
;;Kroppsøving vg1;;;;;
;1STA/SAK1001;SAK1001;1 gruppe;1STA;;Nei;
;;Samfunnskunnskap;;;;;
